,Heritability h^2 (aka a^2),,,,,Common Env c^2,,,,,Error/Uniq. Env,,,
,Estimate,95%CI lb,95%CI ub,P-value,,Estimate,95%CI lb,95%CI ub,P-value,,Estimate,95%CI lb,95%CI ub,P-value
Mean,0.231611,0.174190,0.290668,0.011799,,0.027129,0.001143,0.064247,,,0.741260,0.695328,0.788058,
VarWtMean,0.237609,0.177562,0.291870,0.000100,,0.022099,0.000000,0.059444,,,0.740292,0.696085,0.785063,
AgHe,0.326564,0.201364,0.448787,0.000100,,,,,,,,,,
Median Q2,0.255198,0.182327,0.338057,0.015498,,0.000000,0.000000,0.078425,,,0.739223,0.679162,0.791712,
Q3,0.329794,0.267893,0.390486,0.000200,,0.022309,0.000000,0.130865,,,0.809175,0.763529,0.866173,
Mean(>=Q2),0.324571,0.276056,0.373558,0.002600,,0.027129,0.000000,0.113956,,,0.810556,0.764456,0.868083,
Mean(>=Q3),0.361883,0.302590,0.429110,0.001700,,0.106576,0.007751,0.204557,,,0.847222,0.812255,0.911452,
MaxLRT,16.449734,,,0.061594,,,,,,,,,,
