SH2D5, 9834, 6.915697
LOC441666, 9896, 6.540545
MUM1L1, 8826, 6.507091
GALNTL5, 9161, 6.430060
RASD1, 5808, 6.101614
C2orf27A, 5439, 6.021281
PHLDA2, 2908, 5.983121
LY86-AS1, 9577, 5.822461
CDT1, 7671, 5.751712
CENPF, 472, 5.599818
NOV, 1853, 5.579396
CRYM, 601, 5.513077
FADS3, 1551, 5.426424
BEND5, 7344, 5.408804
SH3BGRL2, 7746, 5.378178
SLC22A18, 1908, 5.328899
LPL, 1561, 5.327759
KIF17, 6794, 5.280712
PRUNE2, 9080, 5.271844
KIAA1549, 6841, 5.243459
COL5A2, 550, 5.189781
SPON2, 4135, 5.167803
VGF, 2977, 5.117258
OPRM1, 1905, 5.100100
SAE1, 3952, 5.083270
HTR1E, 1312, 5.059482
AQP9, 160, 5.054759
ANO3, 6997, 4.997382
ST6GALNAC5, 7691, 4.990622
FXYD6, 5870, 4.895065
LRRC14, 3767, 4.861527
MUCL1, 8554, 4.845396
DGKB, 660, 4.802446
MAPK13, 2191, 4.802104
CD53, 419, 4.790452
TEX29, 8590, 4.771528
CTNND2, 628, 4.768490
ASS1, 197, 4.736895
LONRF2, 9138, 4.727574
TSHZ2, 8705, 4.691195
CLEC4G, 9620, 4.631786
ABCC12, 8365, 4.631031
PKIA, 2164, 4.622971
PKD2L1, 3459, 4.594290
SHC3, 5861, 4.583033
ESYT1, 4839, 4.579645
MFGE8, 1661, 4.552864
CARTPT, 3721, 4.534584
TSPAN33, 9639, 4.533384
GDF10, 1037, 4.493166
OR14I1, 9853, 4.483550
PDK3, 1985, 4.482031
PLXNA1, 2077, 4.472625
SH3GLB2, 6583, 4.462558
TPBG, 2876, 4.438726
PRKCG, 2172, 4.427951
RAPGEF2, 3769, 4.408430
E2F3, 764, 4.388908
CACNG6, 6925, 4.369872
GLP2R, 3587, 4.359216
TRIML2, 9286, 4.355475
CCDC102B, 7426, 4.351656
CACNG3, 4111, 4.338512
CACNA1H, 3418, 4.329656
TPD52, 2877, 4.322348
ATOH7, 9318, 4.313533
CREG2, 9231, 4.300031
F12, 886, 4.267354
DLK2, 7191, 4.237294
GPX3, 1125, 4.233758
CTXN1, 9862, 4.220935
DOC2A, 3208, 4.219548
CCNYL1, 8996, 4.215637
XYLT1, 7022, 4.196567
DYDC2, 7908, 4.194345
OLFM4, 4217, 4.184294
RUNDC3A, 4364, 4.179134
GNB1L, 5969, 4.152661
SMAD3, 1589, 4.138726
PRKCD, 2170, 4.137442
CDC6, 428, 4.063028
PABPC1L2A, 9645, 4.058715
NPTX2, 1866, 4.057057
NOMO1, 4882, 4.024548
ATG7, 4200, 4.021869
ZNF350, 6932, 4.019338
AARS, 4, 4.006709
HK1, 1227, 3.995655
PNKD, 5102, 3.992437
GABRB1, 998, 3.985463
RNGTT, 3335, 3.984222
NKD2, 8104, 3.972731
SH2D1B, 8542, 3.971269
PPP1R12A, 1761, 3.963738
EFNB3, 793, 3.961451
LINC01963, 8990, 3.948262
C1QL3, 9810, 3.943303
MAL2, 8425, 3.940512
PFN2, 2012, 3.929886
CCDC3, 7732, 3.921418
MOXD1, 5124, 3.911782
MCTP1, 7396, 3.911675
LGALS1, 1534, 3.909647
UHMK1, 8692, 3.907218
CHST15, 5716, 3.905500
CBLN4, 8843, 3.897505
FAM168B, 8727, 3.893515
DENND2D, 7476, 3.875615
AGFG2, 1281, 3.865324
ARHGEF7, 3396, 3.864080
SYNGR1, 3509, 3.858459
ANO5, 9280, 3.854166
GRIPAP1, 6568, 3.823336
GULP1, 5750, 3.813026
ADAD2, 9110, 3.812890
MKX, 9471, 3.809545
KCNV1, 5256, 3.808429
ARHGAP28, 7416, 3.788024
RAB27B, 2315, 3.781728
SERPINF1, 1993, 3.763468
STEAP1, 5242, 3.756108
CDCA5, 8395, 3.754591
LY6H, 1580, 3.748485
HACD1, 3524, 3.739332
ARHGDIA, 177, 3.737625
ELAVL4, 815, 3.735826
SLC39A11, 9249, 3.727224
PDZD2, 4687, 3.724518
DACH2, 8541, 3.719139
IL33, 8210, 3.713875
FLII, 950, 3.713001
THEM6, 5707, 3.710673
PKP3, 4502, 3.702918
APEH, 146, 3.700873
RTL5, 9644, 3.690018
DNAJC27, 5675, 3.688459
LAMB3, 1518, 3.680831
EXOC6, 5953, 3.679782
CDH18, 446, 3.667612
FILIP1L, 4532, 3.667040
GYG2, 3415, 3.663313
TAPBP, 2757, 3.646355
PI4KA, 2045, 3.638863
GRM1, 1149, 3.635521
CLCN5, 518, 3.625572
RELB, 2366, 3.623857
CLDN4, 578, 3.618173
ATP2B4, 216, 3.611630
GPR150, 9570, 3.609432
PDE1B, 1974, 3.608365
AHNAK2, 8396, 3.603209
STAT6, 2707, 3.597944
TSPYL4, 4798, 3.595657
RIPOR2, 3800, 3.588194
PTPRF, 2279, 3.576783
SRPRA, 2690, 3.573346
SH3RF1, 6823, 3.565719
SNN, 3169, 3.562530
VARS, 2967, 3.558955
CCDC103, 9773, 3.550685
BICC1, 7508, 3.542554
USP7, 3099, 3.532628
FGFR1OP2, 5175, 3.530579
DTX4, 4772, 3.529469
KCNB2, 3571, 3.529032
ASB6, 8834, 3.522884
KCNJ4, 1458, 3.522474
CCDC189, 8205, 3.521235
COL5A3, 5523, 3.514867
FZD1, 3175, 3.511231
CORO1C, 4963, 3.509844
AP1M1, 3414, 3.500013
FRS3, 4332, 3.497268
CEBPA, 465, 3.494707
TMEM132B, 8442, 3.485088
ETS2, 868, 3.471639
RGS20, 3275, 3.470196
SLC39A10, 6679, 3.465730
NOS2, 1848, 3.462841
B4GALNT1, 1011, 3.457357
LRRC2, 7293, 3.451699
MIR4697HG, 9475, 3.450282
E2F1, 763, 3.445652
SENP3, 5189, 3.444014
LCN15, 9806, 3.438895
FREM3, 9149, 3.417702
CTSD, 632, 3.415312
PPM1H, 6729, 3.408858
KIAA1549L, 5020, 3.407949
NEUROD6, 6995, 3.407808
MAP7D2, 9440, 3.405380
LUZP1, 3079, 3.400951
GFOD2, 7658, 3.396172
AKAP12, 3715, 3.395871
PHLPP2, 4686, 3.380993
SPATA2, 3837, 3.377236
NECAB1, 7030, 3.373725
PTCHD1, 8829, 3.370659
NEK2, 1806, 3.364714
USP5, 3126, 3.362925
ZNF219, 5653, 3.361729
METTL13, 5791, 3.350749
DMGDH, 5484, 3.350560
MCTS1, 5386, 3.340657
UCHL1, 2943, 3.338075
ADAMTS14, 8852, 3.334717
TMEM158, 5080, 3.334431
TNFRSF1A, 2865, 3.334106
ZNF469, 7959, 3.333385
COL12A1, 560, 3.331583
ACHE, 21, 3.311523
DPF3, 3134, 3.309701
GRM8, 1155, 3.303191
XK, 3007, 3.301958
ACTN2, 36, 3.297036
HRH1, 1282, 3.290933
SH3BP1, 4970, 3.288152
ELMO3, 7395, 3.287661
FIG4, 3874, 3.286809
ASGR2, 192, 3.285056
SMIM12, 8405, 3.284709
NMNAT2, 4695, 3.282614
DAW1, 9137, 3.272110
KCNQ5, 6545, 3.270501
VPS39, 4837, 3.268622
CA10, 6595, 3.263103
ATP6V1B2, 226, 3.256050
STYK1, 6290, 3.249821
SLC25A11, 3187, 3.247713
APBA2, 141, 3.243893
NDEL1, 7650, 3.238333
COG2, 4567, 3.238178
IPCEF1, 5141, 3.236600
RHOT2, 8149, 3.234606
BAG5, 3682, 3.232141
CDH8, 440, 3.230698
RNF182, 9354, 3.225637
KBTBD11, 3888, 3.224851
MAP1B, 1607, 3.222757
ENTPD6, 415, 3.220625
FHL2, 937, 3.219785
RARB, 2340, 3.217433
STBD1, 3442, 3.215608
CDK5R2, 3431, 3.214425
MTA3, 6754, 3.208857
LGI4, 9126, 3.206440
CHL1, 4304, 3.205492
TMEM155, 8768, 3.204738
SFRP1, 2541, 3.198557
SYNM, 4836, 3.193351
B3GALT6, 8671, 3.182261
GRPR, 1160, 3.179428
RAB3D, 3694, 3.178742
ENPP6, 8775, 3.178482
ATAD3B, 7767, 3.176775
TNFRSF11A, 3357, 3.176661
CDC37, 4472, 3.174936
